subjek,label,frac_pita,f_median,f_p99
C_0005,0,3.1559160683526164e-05,0.006351907504722476,0.11957067251205444
C_0007,0,0.00035299022567541083,0.0056644766591489315,0.10283375158905983
C_0010,0,8.579143538159425e-05,0.006455080894132455,0.0911816954612732
H_P000-0001,1,0.0002012015063139288,0.005199227947741747,0.08642764389514923
H_P000-0011,1,0.00033597190024203187,0.009850368835031986,0.28316880017518997
H_P000-0022,1,0.002601942504626257,0.012366350274533033,1.6321378275752068
H_P000-0023,1,0.0010486233060167445,0.01583766285330057,0.9043796708186468
H_P000-0029,1,0.00031294059650341307,0.012220227470000585,0.33466756840546924
H_P000-0039,1,0.0014809899165572893,0.014984076532224814,0.7881212135155996
P_02100002,1,0.000201503124327073,0.0051923105493187904,0.08530748263001442
P_11120003,1,8.238357766014146e-05,0.007031789204726617,0.09226194520791371
P_11120004,1,0.0001357537916442384,0.007067878730595112,0.1031273826956749
P_26060003,1,0.00030233223468982963,0.006215974688529968,0.09535695612430573
P_27110003,1,0.00010352142897682775,0.006720603629946709,0.0919943019747734
P_30100002,1,0.0009904319418326858,0.009675686713308096,0.7108742992083231
